,Fighter,Finish_Description,Method,Opponent,Passes,Round,Strikes,Sub_Attempts,Take_Downs,Time,WL,Weight
601,Karolina Kowalkiewicz,,U-DEC,Alexa Grasso,0,3,90,0,0,5:00,Loss,Women's Strawweight
602,Calvin Kattar,Punch,KO/TKO,Ricardo Lamas,0,1,22,0,0,4:06,Win,Featherweight
603,Ricardo Lamas,Punch,KO/TKO,Calvin Kattar,0,1,12,0,0,4:06,Loss,Featherweight
604,Xiaonan Yan,,U-DEC,Angela Hill,1,3,94,0,1,5:00,Win,Women's Strawweight
605,Angela Hill,,U-DEC,Xiaonan Yan,0,3,71,1,1,5:00,Loss,Women's Strawweight
606,Darren Stewart,,U-DEC,Bevon Lewis,0,3,30,0,0,5:00,Win,Middleweight
607,Bevon Lewis,,U-DEC,Darren Stewart,0,3,31,0,0,5:00,Loss,Middleweight
608,Eddie Wineland,Punch,KO/TKO,Grigorii Popov,0,2,74,0,0,4:47,Win,Bantamweight
609,Grigorii Popov,Punch,KO/TKO,Eddie Wineland,0,2,55,0,0,4:47,Loss,Bantamweight
610,Katlyn Chookagian,,U-DEC,Joanne Calderwood,0,3,82,0,0,5:00,Win,Women's Flyweight
611,Joanne Calderwood,,U-DEC,Katlyn Chookagian,0,3,112,0,3,5:00,Loss,Women's Flyweight
612,Anthony Smith,Rear Naked Choke,SUB,Alexander Gustafsson,1,4,49,1,0,2:38,Win,Light Heavyweight
613,Alexander Gustafsson,Rear Naked Choke,SUB,Anthony Smith,1,4,72,0,1,2:38,Loss,Light Heavyweight
614,Aleksandar Rakic,Kick,KO/TKO,Jimi Manuwa,0,1,2,0,0,0:47,Win,Light Heavyweight
615,Jimi Manuwa,Kick,KO/TKO,Aleksandar Rakic,0,1,2,0,0,0:47,Loss,Light Heavyweight
616,Makwan Amirkhani,Anaconda Choke,SUB,Chris Fishgold,2,2,9,1,1,4:25,Win,Featherweight
617,Chris Fishgold,Anaconda Choke,SUB,Makwan Amirkhani,0,2,16,0,0,4:25,Loss,Featherweight
618,Christos Giagos,,U-DEC,Damir Hadzovic,3,3,47,0,6,5:00,Win,Lightweight
619,Damir Hadzovic,,U-DEC,Christos Giagos,0,3,24,0,1,5:00,Loss,Lightweight
620,Daniel Teymur,,U-DEC,Sung Bin Jo,0,3,40,0,1,5:00,Win,Featherweight
621,Sung Bin Jo,,U-DEC,Daniel Teymur,0,3,21,1,1,5:00,Loss,Featherweight
622,Sergey Khandozhko,,U-DEC,Rostem Akman,1,3,60,0,1,5:00,Win,Welterweight
623,Rostem Akman,,U-DEC,Sergey Khandozhko,1,3,39,0,2,5:00,Loss,Welterweight
624,Lina Lansberg,,U-DEC,Tonya Evinger,2,3,50,0,1,5:00,Win,Women's Bantamweight
625,Tonya Evinger,,U-DEC,Lina Lansberg,2,3,6,0,1,5:00,Loss,Women's Bantamweight
626,Leonardo Santos,Punch,KO/TKO,Stevie Ray,0,1,12,0,0,2:17,Win,Lightweight
627,Stevie Ray,Punch,KO/TKO,Leonardo Santos,0,1,2,0,0,2:17,Loss,Lightweight
628,Frank Camacho,Punches,KO/TKO,Nick Hein,0,2,100,0,0,4:56,Win,Lightweight
629,Nick Hein,Punches,KO/TKO,Frank Camacho,0,2,37,0,1,4:56,Loss,Lightweight
630,Bea Malecki,Rear Naked Choke,SUB,Duda Santana,1,2,19,2,0,1:59,Win,Women's Bantamweight
631,Duda Santana,Rear Naked Choke,SUB,Bea Malecki,0,2,42,0,3,1:59,Loss,Women's Bantamweight
632,Devin Clark,,U-DEC,Darko Stosic,0,3,40,0,2,5:00,Win,Light Heavyweight
633,Darko Stosic,,U-DEC,Devin Clark,1,3,26,0,1,5:00,Loss,Light Heavyweight
634,Joel Alvarez,Punches,KO/TKO,Danilo Belluardo,1,2,19,0,0,2:22,Win,Lightweight
635,Danilo Belluardo,Punches,KO/TKO,Joel Alvarez,2,2,13,0,2,2:22,Loss,Lightweight
636,Rafael Dos Anjos,Arm Triangle,SUB,Kevin Lee,4,4,60,1,4,3:47,Win,Welterweight
637,Kevin Lee,Arm Triangle,SUB,Rafael Dos Anjos,1,4,35,0,6,3:47,Loss,Welterweight
638,Ian Heinisch,,U-DEC,Antonio Carlos Junior,5,3,39,0,1,5:00,Win,Middleweight
639,Antonio Carlos Junior,,U-DEC,Ian Heinisch,4,3,15,0,4,5:00,Loss,Middleweight
640,Felicia Spencer,Rear Naked Choke,SUB,Megan Anderson,1,1,22,1,1,3:24,Win,Women's Featherweight
641,Megan Anderson,Rear Naked Choke,SUB,Felicia Spencer,0,1,3,0,0,3:24,Loss,Women's Featherweight
642,Vicente Luque,Punch,KO/TKO,Derrick Krantz,0,1,18,0,0,3:52,Win,Welterweight
643,Derrick Krantz,Punch,KO/TKO,Vicente Luque,1,1,6,0,1,3:52,Loss,Welterweight
644,Charles Oliveira,Punch,KO/TKO,Nik Lentz,3,2,38,1,0,2:11,Win,Lightweight
645,Nik Lentz,Punch,KO/TKO,Charles Oliveira,1,2,18,0,2,2:11,Loss,Lightweight
646,Davi Ramos,,U-DEC,Austin Hubbard,3,3,63,0,3,5:00,Win,Lightweight
647,Austin Hubbard,,U-DEC,Davi Ramos,0,3,44,0,0,5:00,Loss,Lightweight
648,Aspen Ladd,,U-DEC,Sijara Eubanks,6,3,69,3,3,5:00,Win,Women's Bantamweight
649,Sijara Eubanks,,U-DEC,Aspen Ladd,2,3,77,0,2,5:00,Loss,Women's Bantamweight
650,Desmond Green,,U-DEC,Charles Jourdain,1,3,78,0,4,5:00,Win,Lightweight
651,Charles Jourdain,,U-DEC,Desmond Green,0,3,55,0,0,5:00,Loss,Lightweight
652,Michel Pereira,Flying Knee,KO/TKO,Danny Roberts,0,1,6,0,0,1:47,Win,Welterweight
653,Danny Roberts,Flying Knee,KO/TKO,Michel Pereira,0,1,2,0,0,1:47,Loss,Welterweight
654,Grant Dawson,Rear Naked Choke,SUB,Michael Trizano,4,2,27,1,3,2:27,Win,Featherweight
655,Michael Trizano,Rear Naked Choke,SUB,Grant Dawson,0,2,20,0,0,2:27,Loss,Featherweight
656,Ed Herman,Knee,KO/TKO,Patrick Cummins,0,1,11,0,0,3:39,Win,Light Heavyweight
657,Patrick Cummins,Knee,KO/TKO,Ed Herman,0,1,22,0,1,3:39,Loss,Light Heavyweight
658,Zak Cummings,Guillotine Choke,SUB,Trevin Giles,0,3,34,1,0,4:01,Win,Middleweight
659,Trevin Giles,Guillotine Choke,SUB,Zak Cummings,0,3,31,0,0,4:01,Loss,Middleweight
660,Julio Arce,Kick,KO/TKO,Julian Erosa,0,3,74,0,1,1:49,Win,Featherweight
661,Julian Erosa,Kick,KO/TKO,Julio Arce,0,3,43,0,0,1:49,Loss,Featherweight
662,Jessica Andrade,Slam,KO/TKO,Rose Namajunas,0,2,47,0,2,2:58,Win,Women's Strawweight
663,Rose Namajunas,Slam,KO/TKO,Jessica Andrade,1,2,55,1,0,2:58,Loss,Women's Strawweight
664,Jared Cannonier,Kick,KO/TKO,Anderson Silva,0,1,17,0,0,4:47,Win,Middleweight
665,Anderson Silva,Kick,KO/TKO,Jared Cannonier,0,1,8,0,0,4:47,Loss,Middleweight
666,Alexander Volkanovski,,U-DEC,Jose Aldo,0,3,95,0,0,5:00,Win,Featherweight
667,Jose Aldo,,U-DEC,Alexander Volkanovski,0,3,29,0,0,5:00,Loss,Featherweight
668,Laureano Staropoli,,U-DEC,Thiago Alves,0,3,54,0,1,5:00,Win,Welterweight
669,Thiago Alves,,U-DEC,Laureano Staropoli,0,3,58,0,1,5:00,Loss,Welterweight
670,Irene Aldana,Armbar,SUB,Bethe Correia,1,3,83,1,0,3:24,Win,Women's Bantamweight
671,Bethe Correia,Armbar,SUB,Irene Aldana,0,3,81,0,0,3:24,Loss,Women's Bantamweight
672,Ryan Spann,Punch,KO/TKO,Rogerio Nogueira,1,1,13,1,1,2:07,Win,Light Heavyweight
673,Rogerio Nogueira,Punch,KO/TKO,Ryan Spann,0,1,6,0,0,2:07,Loss,Light Heavyweight
674,Thiago Moises,,U-DEC,Kurt Holobaugh,4,3,66,1,4,5:00,Win,Lightweight
675,Kurt Holobaugh,,U-DEC,Thiago Moises,0,3,39,0,2,5:00,Loss,Lightweight
676,Warlley Alves,Punch,KO/TKO,Sergio Moraes,0,3,72,0,0,4:13,Win,Welterweight
677,Sergio Moraes,Punch,KO/TKO,Warlley Alves,0,3,20,0,0,4:13,Loss,Welterweight
678,Clay Guida,,U-DEC,BJ Penn,0,3,80,0,1,5:00,Win,Lightweight
679,BJ Penn,,U-DEC,Clay Guida,0,3,64,0,0,5:00,Loss,Lightweight
680,Luana Carolina,,U-DEC,Priscila Cachoeira,1,3,111,3,0,5:00,Win,Women's Flyweight
681,Priscila Cachoeira,,U-DEC,Luana Carolina,0,3,69,0,0,5:00,Loss,Women's Flyweight
682,Raoni Barcelos,Elbows,KO/TKO,Carlos Huachin,3,2,59,1,0,4:49,Win,Bantamweight
683,Carlos Huachin,Elbows,KO/TKO,Raoni Barcelos,0,2,20,0,0,4:49,Loss,Bantamweight
684,Viviane Araujo,Punch,KO/TKO,Talita Bernardo,3,3,61,0,3,0:48,Win,Women's Bantamweight
685,Talita Bernardo,Punch,KO/TKO,Viviane Araujo,0,3,46,0,0,0:48,Loss,Women's Bantamweight
686,Donald Cerrone,,U-DEC,Al Iaquinta,0,5,138,0,0,5:00,Win,Lightweight
687,Al Iaquinta,,U-DEC,Donald Cerrone,0,5,90,0,0,5:00,Loss,Lightweight
688,Derek Brunson,,U-DEC,Elias Theodorou,5,3,56,0,4,5:00,Win,Middleweight
689,Elias Theodorou,,U-DEC,Derek Brunson,0,3,65,0,0,5:00,Loss,Middleweight
690,Shane Burgos,,S-DEC,Cub Swanson,0,3,134,0,0,5:00,Win,Featherweight
691,Cub Swanson,,S-DEC,Shane Burgos,0,3,129,0,0,5:00,Loss,Featherweight
692,Merab Dvalishvili,,U-DEC,Brad Katona,3,3,55,0,5,5:00,Win,Bantamweight
693,Brad Katona,,U-DEC,Merab Dvalishvili,0,3,32,0,0,5:00,Loss,Bantamweight
694,Walt Harris,Knees,KO/TKO,Serghei Spivac,0,1,17,0,0,0:50,Win,Heavyweight
695,Serghei Spivac,Knees,KO/TKO,Walt Harris,0,1,1,0,0,0:50,Loss,Heavyweight
696,Andrew Sanchez,,U-DEC,Marc-Andre Barriault,3,3,72,0,2,5:00,Win,Middleweight
697,Marc-Andre Barriault,,U-DEC,Andrew Sanchez,0,3,69,0,0,5:00,Loss,Middleweight
698,Macy Chiasson,Punches,KO/TKO,Sarah Moras,3,2,43,0,0,2:22,Win,Women's Bantamweight
699,Sarah Moras,Punches,KO/TKO,Macy Chiasson,3,2,9,1,1,2:22,Loss,Women's Bantamweight
700,Vince Morales,,U-DEC,Aiemann Zahabi,0,3,59,0,0,5:00,Win,Bantamweight
701,Aiemann Zahabi,,U-DEC,Vince Morales,0,3,28,0,1,5:00,Loss,Bantamweight
702,Nordine Taleb,,U-DEC,Kyle Prepolec,0,3,90,0,0,5:00,Win,Welterweight
703,Kyle Prepolec,,U-DEC,Nordine Taleb,0,3,52,0,0,5:00,Loss,Welterweight
704,Matt Sayles,Arm Triangle,SUB,Kyle Nelson,3,3,75,1,0,3:16,Win,Featherweight
705,Kyle Nelson,Arm Triangle,SUB,Matt Sayles,1,3,26,4,2,3:16,Loss,Featherweight
706,Arjan Bhullar,,U-DEC,Juan Adams,2,3,41,0,2,5:00,Win,Heavyweight
707,Juan Adams,,U-DEC,Arjan Bhullar,0,3,81,0,0,5:00,Loss,Heavyweight
708,Cole Smith,,U-DEC,Mitch Gagnon,2,3,38,2,2,5:00,Win,Bantamweight
709,Mitch Gagnon,,U-DEC,Cole Smith,1,3,15,2,0,5:00,Loss,Bantamweight
710,Jack Hermansson,,U-DEC,Jacare Souza,1,5,148,1,3,5:00,Win,Middleweight
711,Jacare Souza,,U-DEC,Jack Hermansson,0,5,90,0,0,5:00,Loss,Middleweight
712,Greg Hardy,Punches,KO/TKO,Dmitrii Smoliakov,0,1,14,0,0,2:15,Win,Heavyweight
713,Dmitrii Smoliakov,Punches,KO/TKO,Greg Hardy,0,1,1,0,0,2:15,Loss,Heavyweight
714,Mike Perry,,U-DEC,Alex Oliveira,1,3,65,0,0,5:00,Win,Welterweight
715,Alex Oliveira,,U-DEC,Mike Perry,0,3,48,0,0,5:00,Loss,Welterweight
716,Glover Teixeira,Rear Naked Choke,SUB,Ion Cutelaba,3,2,30,1,0,3:37,Win,Light Heavyweight
717,Ion Cutelaba,Rear Naked Choke,SUB,Glover Teixeira,1,2,74,0,0,3:37,Loss,Light Heavyweight
718,Cory Sandhagen,,S-DEC,John Lineker,0,3,120,0,2,5:00,Win,Bantamweight
719,John Lineker,,S-DEC,Cory Sandhagen,0,3,106,1,1,5:00,Loss,Bantamweight
720,Roosevelt Roberts,,U-DEC,Thomas Gifford,6,3,53,0,2,5:00,Win,Lightweight
721,Thomas Gifford,,U-DEC,Roosevelt Roberts,1,3,30,0,1,5:00,Loss,Lightweight
722,Takashi Sato,Elbows,KO/TKO,Ben Saunders,0,2,28,0,0,1:18,Win,Welterweight
723,Ben Saunders,Elbows,KO/TKO,Takashi Sato,0,2,46,0,0,1:18,Loss,Welterweight
724,Augusto Sakai,,S-DEC,Andrei Arlovski,0,3,42,0,0,5:00,Win,Heavyweight
725,Andrei Arlovski,,S-DEC,Augusto Sakai,0,3,75,0,0,5:00,Loss,Heavyweight
726,Carla Esparza,,U-DEC,Virna Jandiroba,3,3,25,0,4,5:00,Win,Women's Strawweight
727,Virna Jandiroba,,U-DEC,Carla Esparza,5,3,17,0,3,5:00,Loss,Women's Strawweight
728,Gilbert Burns,Rear Naked Choke,SUB,Mike Davis,4,2,49,1,3,4:15,Win,Lightweight
729,Mike Davis,Rear Naked Choke,SUB,Gilbert Burns,0,2,13,0,0,4:15,Loss,Lightweight
730,Jim Miller,Rear Naked Choke,SUB,Jason Gonzalez,1,1,6,1,2,2:12,Win,Lightweight
731,Jason Gonzalez,Rear Naked Choke,SUB,Jim Miller,0,1,10,0,0,2:12,Loss,Lightweight
732,Angela Hill,,U-DEC,Jodie Esquibel,0,3,117,0,0,5:00,Win,Women's Strawweight
733,Jodie Esquibel,,U-DEC,Angela Hill,0,3,57,0,0,5:00,Loss,Women's Strawweight
734,Dhiego Lima,,S-DEC,Court McGee,0,3,65,0,0,5:00,Win,Welterweight
735,Court McGee,,S-DEC,Dhiego Lima,0,3,65,0,0,5:00,Loss,Welterweight
736,Alistair Overeem,Knee,KO/TKO,Aleksei Oleinik,0,1,29,0,0,4:45,Win,Heavyweight
737,Aleksei Oleinik,Knee,KO/TKO,Alistair Overeem,0,1,38,0,0,4:45,Loss,Heavyweight
738,Islam Makhachev,,U-DEC,Arman Tsarukyan,2,3,14,0,4,5:00,Win,Lightweight
739,Arman Tsarukyan,,U-DEC,Islam Makhachev,0,3,13,0,1,5:00,Loss,Lightweight
740,Sergei Pavlovich,Punches,KO/TKO,Marcelo Golm,0,1,17,0,0,1:06,Win,Heavyweight
741,Marcelo Golm,Punches,KO/TKO,Sergei Pavlovich,0,1,5,0,0,1:06,Loss,Heavyweight
742,Roxanne Modafferi,,S-DEC,Antonina Shevchenko,5,3,33,0,5,5:00,Win,Women's Flyweight
743,Antonina Shevchenko,,S-DEC,Roxanne Modafferi,0,3,64,0,0,5:00,Loss,Women's Flyweight
744,Krzysztof Jotko,,U-DEC,Alen Amedovski,5,3,43,0,4,5:00,Win,Middleweight
745,Alen Amedovski,,U-DEC,Krzysztof Jotko,0,3,6,0,0,5:00,Loss,Middleweight
746,Movsar Evloev,,U-DEC,SeungWoo Choi,1,3,50,0,5,5:00,Win,Featherweight
747,SeungWoo Choi,,U-DEC,Movsar Evloev,0,3,26,0,0,5:00,Loss,Featherweight
748,Sultan Aliev,,U-DEC,Keita Nakamura,0,3,25,0,2,5:00,Win,Welterweight
749,Keita Nakamura,,U-DEC,Sultan Aliev,0,3,29,0,0,5:00,Loss,Welterweight
750,Alexander Yakovlev,Other - Choke,SUB,Alex Da Silva,0,2,14,1,1,3:10,Win,Lightweight
751,Alex Da Silva,Other - Choke,SUB,Alexander Yakovlev,2,2,8,0,1,3:10,Loss,Lightweight
752,Shamil Abdurakhimov,Punches,KO/TKO,Marcin Tybura,0,2,36,0,0,3:15,Win,Heavyweight
753,Marcin Tybura,Punches,KO/TKO,Shamil Abdurakhimov,0,2,28,0,0,3:15,Loss,Heavyweight
754,Michal Oleksiejczuk,Punch,KO/TKO,Gadzhimurad Antigulov,0,1,8,0,0,0:44,Win,Light Heavyweight
755,Gadzhimurad Antigulov,Punch,KO/TKO,Michal Oleksiejczuk,0,1,6,0,0,0:44,Loss,Light Heavyweight
756,Magomed Mustafaev,Spinning Back Kick,KO/TKO,Rafael Fiziev,0,1,10,0,0,1:26,Win,Lightweight
757,Rafael Fiziev,Spinning Back Kick,KO/TKO,Magomed Mustafaev,0,1,1,0,0,1:26,Loss,Lightweight
758,Dustin Poirier,,U-DEC,Max Holloway,0,5,178,0,1,5:00,Win,Lightweight
759,Max Holloway,,U-DEC,Dustin Poirier,0,5,181,1,0,5:00,Loss,Lightweight
760,Israel Adesanya,,U-DEC,Kelvin Gastelum,0,5,109,2,0,5:00,Win,Middleweight
761,Kelvin Gastelum,,U-DEC,Israel Adesanya,0,5,91,0,1,5:00,Loss,Middleweight
762,Khalil Rountree Jr.,,U-DEC,Eryk Anders,0,3,79,0,0,5:00,Win,Light Heavyweight
763,Eryk Anders,,U-DEC,Khalil Rountree Jr.,0,3,16,0,0,5:00,Loss,Light Heavyweight
764,Dwight Grant,,S-DEC,Alan Jouban,0,3,38,0,0,5:00,Win,Welterweight
765,Alan Jouban,,S-DEC,Dwight Grant,1,3,24,0,1,5:00,Loss,Welterweight
766,Nikita Krylov,Rear Naked Choke,SUB,Ovince Saint Preux,2,2,27,2,1,2:30,Win,Light Heavyweight
767,Ovince Saint Preux,Rear Naked Choke,SUB,Nikita Krylov,2,2,4,0,3,2:30,Loss,Light Heavyweight
768,Matt Frevola,,U-DEC,Jalin Turner,7,3,31,2,4,5:00,Win,Lightweight
769,Jalin Turner,,U-DEC,Matt Frevola,0,3,35,1,0,5:00,Loss,Lightweight
770,Alexandre Pantoja,Punch,KO/TKO,Wilson Reis,0,1,23,0,0,2:58,Win,Flyweight
771,Wilson Reis,Punch,KO/TKO,Alexandre Pantoja,0,1,1,0,1,2:58,Loss,Flyweight
772,Max Griffin,,M-DEC,Zelim Imadaev,2,3,47,3,6,5:00,Win,Welterweight
773,Zelim Imadaev,,M-DEC,Max Griffin,0,3,64,0,0,5:00,Loss,Welterweight
774,Khalid Taha,Punch,KO/TKO,Boston Salmon,0,1,5,0,0,0:25,Win,Bantamweight
775,Boston Salmon,Punch,KO/TKO,Khalid Taha,0,1,0,0,0,0:25,Loss,Bantamweight
776,Belal Muhammad,,U-DEC,Curtis Millender,6,3,47,0,2,5:00,Win,Welterweight
777,Curtis Millender,,U-DEC,Belal Muhammad,1,3,48,0,0,5:00,Loss,Welterweight
778,Montel Jackson,,U-DEC,Andre Soukhamthath,3,3,64,0,3,5:00,Win,Bantamweight
779,Andre Soukhamthath,,U-DEC,Montel Jackson,0,3,30,0,1,5:00,Loss,Bantamweight
780,Poliana Botelho,,U-DEC,Lauren Mueller,2,3,47,0,2,5:00,Win,Women's Flyweight
781,Lauren Mueller,,U-DEC,Poliana Botelho,1,3,47,0,0,5:00,Loss,Women's Flyweight
782,Brandon Davis,Rear Naked Choke,SUB,Randy Costa,0,2,35,1,0,1:12,Win,Bantamweight
783,Randy Costa,Rear Naked Choke,SUB,Brandon Davis,0,2,46,0,0,1:12,Loss,Bantamweight
784,Justin Gaethje,Punch,KO/TKO,Edson Barboza,0,1,20,0,0,2:30,Win,Lightweight
785,Edson Barboza,Punch,KO/TKO,Justin Gaethje,0,1,13,0,0,2:30,Loss,Lightweight
786,Jack Hermansson,Guillotine Choke,SUB,David Branch,1,1,3,1,1,0:49,Win,Middleweight
787,David Branch,Guillotine Choke,SUB,Jack Hermansson,0,1,1,0,0,0:49,Loss,Middleweight
788,Josh Emmett,Punch,KO/TKO,Michael Johnson,0,3,22,0,0,4:14,Win,Featherweight
789,Michael Johnson,Punch,KO/TKO,Josh Emmett,0,3,24,0,0,4:14,Loss,Featherweight
790,Michelle Waterson,,U-DEC,Karolina Kowalkiewicz,1,3,64,1,2,5:00,Win,Women's Strawweight
791,Karolina Kowalkiewicz,,U-DEC,Michelle Waterson,0,3,57,0,0,5:00,Loss,Women's Strawweight
792,Paul Craig,Triangle Choke,SUB,Kennedy Nzechukwu,0,3,25,2,1,4:20,Win,Light Heavyweight
793,Kennedy Nzechukwu,Triangle Choke,SUB,Paul Craig,1,3,40,0,0,4:20,Loss,Light Heavyweight
794,Sodiq Yusuff,,U-DEC,Sheymon Moraes,1,3,73,0,0,5:00,Win,Featherweight
795,Sheymon Moraes,,U-DEC,Sodiq Yusuff,0,3,54,0,0,5:00,Loss,Featherweight
796,Marina Rodriguez,,U-DEC,Jessica Aguilar,0,3,118,0,0,5:00,Win,Women's Strawweight
797,Jessica Aguilar,,U-DEC,Marina Rodriguez,1,3,50,1,0,5:00,Loss,Women's Strawweight
798,Desmond Green,Punches,KO/TKO,Ross Pearson,0,1,25,0,1,2:52,Win,Lightweight
799,Ross Pearson,Punches,KO/TKO,Desmond Green,0,1,12,0,0,2:52,Loss,Lightweight
800,Kevin Aguilar,,U-DEC,Enrique Barzola,0,3,58,0,0,5:00,Win,Featherweight
801,Enrique Barzola,,U-DEC,Kevin Aguilar,0,3,52,0,0,5:00,Loss,Featherweight
802,Kevin Holland,,S-DEC,Gerald Meerschaert,4,3,27,2,1,5:00,Win,Middleweight
803,Gerald Meerschaert,,S-DEC,Kevin Holland,9,3,10,4,6,5:00,Loss,Middleweight
804,Casey Kenney,,U-DEC,Ray Borg,4,3,32,0,2,5:00,Win,Bantamweight
805,Ray Borg,,U-DEC,Casey Kenney,3,3,17,0,7,5:00,Loss,Bantamweight
806,Maryna Moroz,,U-DEC,Sabina Mazo,0,3,56,0,1,5:00,Win,Women's Flyweight
807,Sabina Mazo,,U-DEC,Maryna Moroz,0,3,64,0,0,5:00,Loss,Women's Flyweight
808,Alex Perez,,U-DEC,Mark De La Rosa,1,3,60,0,2,5:00,Win,Bantamweight
809,Mark De La Rosa,,U-DEC,Alex Perez,0,3,26,0,0,5:00,Loss,Bantamweight
810,Anthony Pettis,Punch,KO/TKO,Stephen Thompson,0,2,32,0,0,4:55,Win,Welterweight
811,Stephen Thompson,Punch,KO/TKO,Anthony Pettis,0,2,47,0,0,4:55,Loss,Welterweight
812,Curtis Blaydes,,U-DEC,Justin Willis,4,3,22,0,7,5:00,Win,Heavyweight
813,Justin Willis,,U-DEC,Curtis Blaydes,0,3,2,0,0,5:00,Loss,Heavyweight
814,John Makdessi,,U-DEC,Jesus Pinedo,0,3,73,0,0,5:00,Win,Lightweight
815,Jesus Pinedo,,U-DEC,John Makdessi,0,3,37,0,0,5:00,Loss,Lightweight
816,Jussier Formiga,,U-DEC,Deiveson Figueiredo,7,3,26,0,3,5:00,Win,Flyweight
817,Deiveson Figueiredo,,U-DEC,Jussier Formiga,0,3,14,0,0,5:00,Loss,Flyweight
818,Luis Pena,,U-DEC,Steven Peterson,1,3,52,0,1,5:00,Win,Featherweight
819,Steven Peterson,,U-DEC,Luis Pena,2,3,34,1,4,5:00,Loss,Featherweight
820,Maycee Barber,Punches,KO/TKO,JJ Aldrich,0,2,55,0,0,3:01,Win,Women's Flyweight
821,JJ Aldrich,Punches,KO/TKO,Maycee Barber,0,2,25,0,0,3:01,Loss,Women's Flyweight
822,Bryce Mitchell,,U-DEC,Bobby Moffett,1,3,17,2,0,5:00,Win,Featherweight
823,Bobby Moffett,,U-DEC,Bryce Mitchell,4,3,9,2,5,5:00,Loss,Featherweight
824,Marlon Vera,Punch,KO/TKO,Frankie Saenz,0,1,12,0,0,1:25,Win,Bantamweight
825,Frankie Saenz,Punch,KO/TKO,Marlon Vera,0,1,4,0,0,1:25,Loss,Bantamweight
826,Jennifer Maia,,U-DEC,Alexis Davis,0,3,60,0,0,5:00,Win,Women's Flyweight
827,Alexis Davis,,U-DEC,Jennifer Maia,2,3,72,0,1,5:00,Loss,Women's Flyweight
828,Randa Markos,Armbar,SUB,Angela Hill,2,1,13,1,1,4:24,Win,Women's Strawweight
829,Angela Hill,Armbar,SUB,Randa Markos,0,1,2,0,0,4:24,Loss,Women's Strawweight
830,Chris Gutierrez,,U-DEC,Ryan MacDonald,0,3,69,0,0,5:00,Win,Bantamweight
831,Ryan MacDonald,,U-DEC,Chris Gutierrez,0,3,15,0,0,5:00,Loss,Bantamweight
832,Jordan Espinosa,,U-DEC,Eric Shelton,0,3,47,0,1,5:00,Win,Flyweight
833,Eric Shelton,,U-DEC,Jordan Espinosa,0,3,25,0,0,5:00,Loss,Flyweight
834,Jorge Masvidal,Punch,KO/TKO,Darren Till,0,2,35,0,1,3:05,Win,Welterweight
835,Darren Till,Punch,KO/TKO,Jorge Masvidal,0,2,21,0,1,3:05,Loss,Welterweight
836,Leon Edwards,,S-DEC,Gunnar Nelson,1,3,31,0,2,5:00,Win,Welterweight
837,Gunnar Nelson,,S-DEC,Leon Edwards,1,3,9,0,3,5:00,Loss,Welterweight
838,Dominick Reyes,,S-DEC,Volkan Oezdemir,0,3,44,0,0,5:00,Win,Light Heavyweight
839,Volkan Oezdemir,,S-DEC,Dominick Reyes,0,3,35,0,1,5:00,Loss,Light Heavyweight
840,Nathaniel Wood,Rear Naked Choke,SUB,Jose Quinonez,3,2,30,2,2,2:46,Win,Bantamweight
841,Jose Quinonez,Rear Naked Choke,SUB,Nathaniel Wood,1,2,34,0,1,2:46,Loss,Bantamweight
842,Claudio Silva,Armbar,SUB,Danny Roberts,5,3,19,4,3,2:37,Win,Welterweight
843,Danny Roberts,Armbar,SUB,Claudio Silva,2,3,26,0,0,2:37,Loss,Welterweight
844,Jack Marshman,,S-DEC,John Phillips,0,3,31,0,0,5:00,Win,Middleweight
845,John Phillips,,S-DEC,Jack Marshman,0,3,32,0,0,5:00,Loss,Middleweight
846,Arnold Allen,,U-DEC,Jordan Rinaldi,0,3,37,0,0,5:00,Win,Featherweight
847,Jordan Rinaldi,,U-DEC,Arnold Allen,0,3,30,0,0,5:00,Loss,Featherweight
848,Marc Diakiese,,U-DEC,Joe Duffy,2,3,63,0,3,5:00,Win,Lightweight
849,Joe Duffy,,U-DEC,Marc Diakiese,0,3,15,0,1,5:00,Loss,Lightweight
850,Saparbeg Safarov,,U-DEC,Nicolae Negumereanu,7,3,70,0,3,5:00,Win,Light Heavyweight
851,Nicolae Negumereanu,,U-DEC,Saparbeg Safarov,0,3,11,0,0,5:00,Loss,Light Heavyweight
852,Dan Ige,Rear Naked Choke,SUB,Danny Henry,1,1,10,1,1,1:17,Win,Featherweight
853,Danny Henry,Rear Naked Choke,SUB,Dan Ige,0,1,4,0,0,1:17,Loss,Featherweight
854,Molly McCann,,U-DEC,Priscila Cachoeira,2,3,107,2,2,5:00,Win,Women's Flyweight
855,Priscila Cachoeira,,U-DEC,Molly McCann,0,3,75,0,0,5:00,Loss,Women's Flyweight
856,Mike Grundy,Punches,KO/TKO,Nad Narimani,1,2,33,0,1,4:42,Win,Featherweight
857,Nad Narimani,Punches,KO/TKO,Mike Grundy,0,2,22,0,0,4:42,Loss,Featherweight
858,Junior Dos Santos,Punches,KO/TKO,Derrick Lewis,0,2,29,0,0,1:58,Win,Heavyweight
859,Derrick Lewis,Punches,KO/TKO,Junior Dos Santos,0,2,7,0,0,1:58,Loss,Heavyweight
