,Fighter,Finish_Description,Method,Opponent,Passes,Round,Strikes,Sub_Attempts,Take_Downs,Time,WL,Weight,Fight Time (s),Fight Time (mins)
220,Miguel Baeza,Kick,KO/TKO,Hector Aldana,0,2,35,0,1,2:32,Win,Welterweight,452,7.533333333333333
222,Marvin Vettori,,U-DEC,Andrew Sanchez,0,3,85,0,0,5:00,Win,Middleweight,900,15.0
224,JJ Aldrich,,U-DEC,Lauren Mueller,1,3,74,0,1,5:00,Win,Women's Flyweight,900,15.0
226,Israel Adesanya,Punch,KO/TKO,Robert Whittaker,0,2,40,0,0,3:33,Win,Middleweight,513,8.55
228,Dan Hooker,,U-DEC,Al Iaquinta,2,3,98,0,0,5:00,Win,Lightweight,900,15.0
230,Serghei Spivac,Arm Triangle,SUB,Tai Tuivasa,6,2,23,1,6,3:14,Win,Heavyweight,494,8.233333333333333
232,Dhiego Lima,,S-DEC,Luke Jumeau,0,3,32,0,2,5:00,Win,Welterweight,900,15.0
234,Yorgan De Castro,Punch,KO/TKO,Justin Tafa,0,1,4,0,0,2:10,Win,Heavyweight,130,2.1666666666666665
236,Jake Matthews,,U-DEC,Rostem Akman,0,3,59,0,0,5:00,Win,Welterweight,900,15.0
238,Callan Potter,,U-DEC,Maki Pitolo,4,3,48,0,3,5:00,Win,Welterweight,900,15.0
240,Brad Riddell,,U-DEC,Jamie Mullarkey,5,3,91,0,1,5:00,Win,Lightweight,900,15.0
242,Megan Anderson,Triangle Choke,SUB,Zarah Fairn,2,1,10,1,1,3:57,Win,Women's Featherweight,237,3.95
244,Ji Yeon Kim,Punch,KO/TKO,Nadia Kassem,0,2,80,0,0,4:59,Win,Women's Flyweight,599,9.983333333333333
246,Khalid Taha,Arm Triangle,SUB,Bruno Silva,1,3,38,1,0,3:00,Win,Bantamweight,780,13.0
248,Jared Cannonier,Punch,KO/TKO,Jack Hermansson,1,2,28,0,0,0:27,Win,Middleweight,327,5.45
250,Mark Madsen,Punches,KO/TKO,Danilo Belluardo,1,1,22,0,1,1:12,Win,Lightweight,72,1.2
252,Gilbert Burns,,U-DEC,Gunnar Nelson,1,3,30,1,1,5:00,Win,Welterweight,900,15.0
254,Ion Cutelaba,Elbows,KO/TKO,Khalil Rountree Jr.,1,1,15,0,4,2:35,Win,Light Heavyweight,155,2.5833333333333335
256,Ovince Saint Preux,Other - Choke,SUB,Michal Oleksiejczuk,2,2,14,1,1,2:46,Win,Light Heavyweight,466,7.766666666666667
258,Nicolas Dalby,,U-DEC,Alex Oliveira,4,3,31,0,1,5:00,Win,Welterweight,900,15.0
260,John Phillips,Punch,KO/TKO,Alen Amedovski,0,1,5,0,0,0:17,Win,Middleweight,17,0.2833333333333333
262,Makhmud Muradov,,U-DEC,Alessio Di Chirico,0,3,54,0,0,5:00,Win,Middleweight,900,15.0
264,Ismail Naurdiev,,U-DEC,Siyar Bahadurzada,3,3,69,0,3,5:00,Win,Welterweight,900,15.0
266,Giga Chikadze,,S-DEC,Brandon Davis,1,3,59,0,1,5:00,Win,Featherweight,900,15.0
268,Lina Lansberg,,U-DEC,Macy Chiasson,3,3,21,0,2,5:00,Win,Women's Bantamweight,900,15.0
270,Marc Diakiese,,U-DEC,Lando Vannata,1,3,40,0,4,5:00,Win,Lightweight,900,15.0
272,Jack Shore,Rear Naked Choke,SUB,Nohelin Hernandez,11,3,46,1,4,2:51,Win,Bantamweight,771,12.85
276,Carla Esparza,,M-DEC,Alexa Grasso,1,3,44,0,4,5:00,Win,Women's Strawweight,900,15.0
