,Fighter,Finish_Description,Method,Opponent,Passes,Round,Strikes,Sub_Attempts,Take_Downs,Time,WL,Weight,Fight Time (s),Fight Time (mins)
564,Chan Sung Jung,Punch,KO/TKO,Renato Moicano,2,1,16,0,0,0:58,Win,Featherweight,58,0.9666666666666667
566,Randy Brown,Kick,KO/TKO,Bryan Barberena,0,3,89,0,0,2:54,Win,Welterweight,774,12.9
568,Andre Ewell,,U-DEC,Anderson Dos Santos,0,3,73,0,0,5:00,Win,Bantamweight,900,15.0
570,Andrea Lee,,U-DEC,Montana De La Rosa,2,3,73,0,1,5:00,Win,Women's Flyweight,900,15.0
572,Kevin Holland,,U-DEC,Alessio Di Chirico,0,3,58,0,0,5:00,Win,Middleweight,900,15.0
574,Dan Ige,,U-DEC,Kevin Aguilar,3,3,71,0,1,5:00,Win,Featherweight,900,15.0
576,Ashley Yoder,,U-DEC,Syuri Kondo,8,3,75,0,1,5:00,Win,Women's Strawweight,900,15.0
578,Luis Pena,Punches,KO/TKO,Matt Wiman,7,3,87,1,1,1:14,Win,Lightweight,674,11.233333333333333
580,Jairzinho Rozenstruik,Punches,KO/TKO,Allen Crowder,0,1,4,0,0,0:09,Win,Heavyweight,9,0.15
582,Molly McCann,,U-DEC,Ariane Lipski,2,3,108,0,2,5:00,Win,Women's Flyweight,900,15.0
584,Deron Winn,,U-DEC,Eric Spicely,0,3,169,0,0,5:00,Win,Middleweight,900,15.0
586,Henry Cejudo,Punches,KO/TKO,Marlon Moraes,1,3,90,1,1,4:51,Win,Bantamweight,891,14.85
588,Valentina Shevchenko,Kick,KO/TKO,Jessica Eye,3,2,8,1,2,0:26,Win,Women's Flyweight,326,5.433333333333334
590,Tony Ferguson,,KO/TKO,Donald Cerrone,0,2,104,0,0,5:00,Win,Lightweight,600,10.0
592,Petr Yan,,U-DEC,Jimmie Rivera,1,3,56,0,1,5:00,Win,Bantamweight,900,15.0
594,Blagoy Ivanov,,U-DEC,Tai Tuivasa,0,3,73,0,2,5:00,Win,Heavyweight,900,15.0
596,Tatiana Suarez,,U-DEC,Nina Ansaroff,2,3,75,0,4,5:00,Win,Women's Strawweight,900,15.0
598,Aljamain Sterling,,U-DEC,Pedro Munhoz,0,3,174,0,0,5:00,Win,Bantamweight,900,15.0
600,Alexa Grasso,,U-DEC,Karolina Kowalkiewicz,0,3,148,1,0,5:00,Win,Women's Strawweight,900,15.0
602,Calvin Kattar,Punch,KO/TKO,Ricardo Lamas,0,1,22,0,0,4:06,Win,Featherweight,246,4.1
604,Xiaonan Yan,,U-DEC,Angela Hill,1,3,94,0,1,5:00,Win,Women's Strawweight,900,15.0
606,Darren Stewart,,U-DEC,Bevon Lewis,0,3,30,0,0,5:00,Win,Middleweight,900,15.0
608,Eddie Wineland,Punch,KO/TKO,Grigorii Popov,0,2,74,0,0,4:47,Win,Bantamweight,587,9.783333333333333
610,Katlyn Chookagian,,U-DEC,Joanne Calderwood,0,3,82,0,0,5:00,Win,Women's Flyweight,900,15.0
612,Anthony Smith,Rear Naked Choke,SUB,Alexander Gustafsson,1,4,49,1,0,2:38,Win,Light Heavyweight,1058,17.633333333333333
614,Aleksandar Rakic,Kick,KO/TKO,Jimi Manuwa,0,1,2,0,0,0:47,Win,Light Heavyweight,47,0.7833333333333333
616,Makwan Amirkhani,Anaconda Choke,SUB,Chris Fishgold,2,2,9,1,1,4:25,Win,Featherweight,565,9.416666666666666
618,Christos Giagos,,U-DEC,Damir Hadzovic,3,3,47,0,6,5:00,Win,Lightweight,900,15.0
620,Daniel Teymur,,U-DEC,Sung Bin Jo,0,3,40,0,1,5:00,Win,Featherweight,900,15.0
622,Sergey Khandozhko,,U-DEC,Rostem Akman,1,3,60,0,1,5:00,Win,Welterweight,900,15.0
624,Lina Lansberg,,U-DEC,Tonya Evinger,2,3,50,0,1,5:00,Win,Women's Bantamweight,900,15.0
626,Leonardo Santos,Punch,KO/TKO,Stevie Ray,0,1,12,0,0,2:17,Win,Lightweight,137,2.283333333333333
628,Frank Camacho,Punches,KO/TKO,Nick Hein,0,2,100,0,0,4:56,Win,Lightweight,596,9.933333333333334
630,Bea Malecki,Rear Naked Choke,SUB,Duda Santana,1,2,19,2,0,1:59,Win,Women's Bantamweight,419,6.983333333333333
632,Devin Clark,,U-DEC,Darko Stosic,0,3,40,0,2,5:00,Win,Light Heavyweight,900,15.0
634,Joel Alvarez,Punches,KO/TKO,Danilo Belluardo,1,2,19,0,0,2:22,Win,Lightweight,442,7.366666666666666
636,Rafael Dos Anjos,Arm Triangle,SUB,Kevin Lee,4,4,60,1,4,3:47,Win,Welterweight,1127,18.783333333333335
638,Ian Heinisch,,U-DEC,Antonio Carlos Junior,5,3,39,0,1,5:00,Win,Middleweight,900,15.0
640,Felicia Spencer,Rear Naked Choke,SUB,Megan Anderson,1,1,22,1,1,3:24,Win,Women's Featherweight,204,3.4
642,Vicente Luque,Punch,KO/TKO,Derrick Krantz,0,1,18,0,0,3:52,Win,Welterweight,232,3.8666666666666667
644,Charles Oliveira,Punch,KO/TKO,Nik Lentz,3,2,38,1,0,2:11,Win,Lightweight,431,7.183333333333334
646,Davi Ramos,,U-DEC,Austin Hubbard,3,3,63,0,3,5:00,Win,Lightweight,900,15.0
648,Aspen Ladd,,U-DEC,Sijara Eubanks,6,3,69,3,3,5:00,Win,Women's Bantamweight,900,15.0
650,Desmond Green,,U-DEC,Charles Jourdain,1,3,78,0,4,5:00,Win,Lightweight,900,15.0
652,Michel Pereira,Flying Knee,KO/TKO,Danny Roberts,0,1,6,0,0,1:47,Win,Welterweight,107,1.7833333333333334
654,Grant Dawson,Rear Naked Choke,SUB,Michael Trizano,4,2,27,1,3,2:27,Win,Featherweight,447,7.45
656,Ed Herman,Knee,KO/TKO,Patrick Cummins,0,1,11,0,0,3:39,Win,Light Heavyweight,219,3.65
658,Zak Cummings,Guillotine Choke,SUB,Trevin Giles,0,3,34,1,0,4:01,Win,Middleweight,841,14.016666666666667
660,Julio Arce,Kick,KO/TKO,Julian Erosa,0,3,74,0,1,1:49,Win,Featherweight,709,11.816666666666666
662,Jessica Andrade,Slam,KO/TKO,Rose Namajunas,0,2,47,0,2,2:58,Win,Women's Strawweight,478,7.966666666666667
664,Jared Cannonier,Kick,KO/TKO,Anderson Silva,0,1,17,0,0,4:47,Win,Middleweight,287,4.783333333333333
666,Alexander Volkanovski,,U-DEC,Jose Aldo,0,3,95,0,0,5:00,Win,Featherweight,900,15.0
668,Laureano Staropoli,,U-DEC,Thiago Alves,0,3,54,0,1,5:00,Win,Welterweight,900,15.0
670,Irene Aldana,Armbar,SUB,Bethe Correia,1,3,83,1,0,3:24,Win,Women's Bantamweight,804,13.4
672,Ryan Spann,Punch,KO/TKO,Rogerio Nogueira,1,1,13,1,1,2:07,Win,Light Heavyweight,127,2.1166666666666667
674,Thiago Moises,,U-DEC,Kurt Holobaugh,4,3,66,1,4,5:00,Win,Lightweight,900,15.0
676,Warlley Alves,Punch,KO/TKO,Sergio Moraes,0,3,72,0,0,4:13,Win,Welterweight,853,14.216666666666667
678,Clay Guida,,U-DEC,BJ Penn,0,3,80,0,1,5:00,Win,Lightweight,900,15.0
680,Luana Carolina,,U-DEC,Priscila Cachoeira,1,3,111,3,0,5:00,Win,Women's Flyweight,900,15.0
682,Raoni Barcelos,Elbows,KO/TKO,Carlos Huachin,3,2,59,1,0,4:49,Win,Bantamweight,589,9.816666666666666
684,Viviane Araujo,Punch,KO/TKO,Talita Bernardo,3,3,61,0,3,0:48,Win,Women's Bantamweight,648,10.8
686,Donald Cerrone,,U-DEC,Al Iaquinta,0,5,138,0,0,5:00,Win,Lightweight,1500,25.0
688,Derek Brunson,,U-DEC,Elias Theodorou,5,3,56,0,4,5:00,Win,Middleweight,900,15.0
690,Shane Burgos,,S-DEC,Cub Swanson,0,3,134,0,0,5:00,Win,Featherweight,900,15.0
692,Merab Dvalishvili,,U-DEC,Brad Katona,3,3,55,0,5,5:00,Win,Bantamweight,900,15.0
694,Walt Harris,Knees,KO/TKO,Serghei Spivac,0,1,17,0,0,0:50,Win,Heavyweight,50,0.8333333333333334
696,Andrew Sanchez,,U-DEC,Marc-Andre Barriault,3,3,72,0,2,5:00,Win,Middleweight,900,15.0
698,Macy Chiasson,Punches,KO/TKO,Sarah Moras,3,2,43,0,0,2:22,Win,Women's Bantamweight,442,7.366666666666666
700,Vince Morales,,U-DEC,Aiemann Zahabi,0,3,59,0,0,5:00,Win,Bantamweight,900,15.0
702,Nordine Taleb,,U-DEC,Kyle Prepolec,0,3,90,0,0,5:00,Win,Welterweight,900,15.0
704,Matt Sayles,Arm Triangle,SUB,Kyle Nelson,3,3,75,1,0,3:16,Win,Featherweight,796,13.266666666666667
706,Arjan Bhullar,,U-DEC,Juan Adams,2,3,41,0,2,5:00,Win,Heavyweight,900,15.0
708,Cole Smith,,U-DEC,Mitch Gagnon,2,3,38,2,2,5:00,Win,Bantamweight,900,15.0
710,Jack Hermansson,,U-DEC,Jacare Souza,1,5,148,1,3,5:00,Win,Middleweight,1500,25.0
712,Greg Hardy,Punches,KO/TKO,Dmitrii Smoliakov,0,1,14,0,0,2:15,Win,Heavyweight,135,2.25
714,Mike Perry,,U-DEC,Alex Oliveira,1,3,65,0,0,5:00,Win,Welterweight,900,15.0
716,Glover Teixeira,Rear Naked Choke,SUB,Ion Cutelaba,3,2,30,1,0,3:37,Win,Light Heavyweight,517,8.616666666666667
718,Cory Sandhagen,,S-DEC,John Lineker,0,3,120,0,2,5:00,Win,Bantamweight,900,15.0
720,Roosevelt Roberts,,U-DEC,Thomas Gifford,6,3,53,0,2,5:00,Win,Lightweight,900,15.0
722,Takashi Sato,Elbows,KO/TKO,Ben Saunders,0,2,28,0,0,1:18,Win,Welterweight,378,6.3
724,Augusto Sakai,,S-DEC,Andrei Arlovski,0,3,42,0,0,5:00,Win,Heavyweight,900,15.0
726,Carla Esparza,,U-DEC,Virna Jandiroba,3,3,25,0,4,5:00,Win,Women's Strawweight,900,15.0
728,Gilbert Burns,Rear Naked Choke,SUB,Mike Davis,4,2,49,1,3,4:15,Win,Lightweight,555,9.25
730,Jim Miller,Rear Naked Choke,SUB,Jason Gonzalez,1,1,6,1,2,2:12,Win,Lightweight,132,2.2
732,Angela Hill,,U-DEC,Jodie Esquibel,0,3,117,0,0,5:00,Win,Women's Strawweight,900,15.0
734,Dhiego Lima,,S-DEC,Court McGee,0,3,65,0,0,5:00,Win,Welterweight,900,15.0
736,Alistair Overeem,Knee,KO/TKO,Aleksei Oleinik,0,1,29,0,0,4:45,Win,Heavyweight,285,4.75
738,Islam Makhachev,,U-DEC,Arman Tsarukyan,2,3,14,0,4,5:00,Win,Lightweight,900,15.0
740,Sergei Pavlovich,Punches,KO/TKO,Marcelo Golm,0,1,17,0,0,1:06,Win,Heavyweight,66,1.1
742,Roxanne Modafferi,,S-DEC,Antonina Shevchenko,5,3,33,0,5,5:00,Win,Women's Flyweight,900,15.0
744,Krzysztof Jotko,,U-DEC,Alen Amedovski,5,3,43,0,4,5:00,Win,Middleweight,900,15.0
746,Movsar Evloev,,U-DEC,SeungWoo Choi,1,3,50,0,5,5:00,Win,Featherweight,900,15.0
748,Sultan Aliev,,U-DEC,Keita Nakamura,0,3,25,0,2,5:00,Win,Welterweight,900,15.0
750,Alexander Yakovlev,Other - Choke,SUB,Alex Da Silva,0,2,14,1,1,3:10,Win,Lightweight,490,8.166666666666666
752,Shamil Abdurakhimov,Punches,KO/TKO,Marcin Tybura,0,2,36,0,0,3:15,Win,Heavyweight,495,8.25
754,Michal Oleksiejczuk,Punch,KO/TKO,Gadzhimurad Antigulov,0,1,8,0,0,0:44,Win,Light Heavyweight,44,0.7333333333333333
756,Magomed Mustafaev,Spinning Back Kick,KO/TKO,Rafael Fiziev,0,1,10,0,0,1:26,Win,Lightweight,86,1.4333333333333333
758,Dustin Poirier,,U-DEC,Max Holloway,0,5,178,0,1,5:00,Win,Lightweight,1500,25.0
760,Israel Adesanya,,U-DEC,Kelvin Gastelum,0,5,109,2,0,5:00,Win,Middleweight,1500,25.0
762,Khalil Rountree Jr.,,U-DEC,Eryk Anders,0,3,79,0,0,5:00,Win,Light Heavyweight,900,15.0
764,Dwight Grant,,S-DEC,Alan Jouban,0,3,38,0,0,5:00,Win,Welterweight,900,15.0
766,Nikita Krylov,Rear Naked Choke,SUB,Ovince Saint Preux,2,2,27,2,1,2:30,Win,Light Heavyweight,450,7.5
768,Matt Frevola,,U-DEC,Jalin Turner,7,3,31,2,4,5:00,Win,Lightweight,900,15.0
770,Alexandre Pantoja,Punch,KO/TKO,Wilson Reis,0,1,23,0,0,2:58,Win,Flyweight,178,2.966666666666667
772,Max Griffin,,M-DEC,Zelim Imadaev,2,3,47,3,6,5:00,Win,Welterweight,900,15.0
774,Khalid Taha,Punch,KO/TKO,Boston Salmon,0,1,5,0,0,0:25,Win,Bantamweight,25,0.4166666666666667
776,Belal Muhammad,,U-DEC,Curtis Millender,6,3,47,0,2,5:00,Win,Welterweight,900,15.0
778,Montel Jackson,,U-DEC,Andre Soukhamthath,3,3,64,0,3,5:00,Win,Bantamweight,900,15.0
780,Poliana Botelho,,U-DEC,Lauren Mueller,2,3,47,0,2,5:00,Win,Women's Flyweight,900,15.0
782,Brandon Davis,Rear Naked Choke,SUB,Randy Costa,0,2,35,1,0,1:12,Win,Bantamweight,372,6.2
784,Justin Gaethje,Punch,KO/TKO,Edson Barboza,0,1,20,0,0,2:30,Win,Lightweight,150,2.5
786,Jack Hermansson,Guillotine Choke,SUB,David Branch,1,1,3,1,1,0:49,Win,Middleweight,49,0.8166666666666667
788,Josh Emmett,Punch,KO/TKO,Michael Johnson,0,3,22,0,0,4:14,Win,Featherweight,854,14.233333333333333
790,Michelle Waterson,,U-DEC,Karolina Kowalkiewicz,1,3,64,1,2,5:00,Win,Women's Strawweight,900,15.0
792,Paul Craig,Triangle Choke,SUB,Kennedy Nzechukwu,0,3,25,2,1,4:20,Win,Light Heavyweight,860,14.333333333333334
794,Sodiq Yusuff,,U-DEC,Sheymon Moraes,1,3,73,0,0,5:00,Win,Featherweight,900,15.0
796,Marina Rodriguez,,U-DEC,Jessica Aguilar,0,3,118,0,0,5:00,Win,Women's Strawweight,900,15.0
798,Desmond Green,Punches,KO/TKO,Ross Pearson,0,1,25,0,1,2:52,Win,Lightweight,172,2.8666666666666667
800,Kevin Aguilar,,U-DEC,Enrique Barzola,0,3,58,0,0,5:00,Win,Featherweight,900,15.0
802,Kevin Holland,,S-DEC,Gerald Meerschaert,4,3,27,2,1,5:00,Win,Middleweight,900,15.0
804,Casey Kenney,,U-DEC,Ray Borg,4,3,32,0,2,5:00,Win,Bantamweight,900,15.0
806,Maryna Moroz,,U-DEC,Sabina Mazo,0,3,56,0,1,5:00,Win,Women's Flyweight,900,15.0
808,Alex Perez,,U-DEC,Mark De La Rosa,1,3,60,0,2,5:00,Win,Bantamweight,900,15.0
810,Anthony Pettis,Punch,KO/TKO,Stephen Thompson,0,2,32,0,0,4:55,Win,Welterweight,595,9.916666666666666
812,Curtis Blaydes,,U-DEC,Justin Willis,4,3,22,0,7,5:00,Win,Heavyweight,900,15.0
814,John Makdessi,,U-DEC,Jesus Pinedo,0,3,73,0,0,5:00,Win,Lightweight,900,15.0
816,Jussier Formiga,,U-DEC,Deiveson Figueiredo,7,3,26,0,3,5:00,Win,Flyweight,900,15.0
818,Luis Pena,,U-DEC,Steven Peterson,1,3,52,0,1,5:00,Win,Featherweight,900,15.0
820,Maycee Barber,Punches,KO/TKO,JJ Aldrich,0,2,55,0,0,3:01,Win,Women's Flyweight,481,8.016666666666667
822,Bryce Mitchell,,U-DEC,Bobby Moffett,1,3,17,2,0,5:00,Win,Featherweight,900,15.0
824,Marlon Vera,Punch,KO/TKO,Frankie Saenz,0,1,12,0,0,1:25,Win,Bantamweight,85,1.4166666666666667
826,Jennifer Maia,,U-DEC,Alexis Davis,0,3,60,0,0,5:00,Win,Women's Flyweight,900,15.0
828,Randa Markos,Armbar,SUB,Angela Hill,2,1,13,1,1,4:24,Win,Women's Strawweight,264,4.4
830,Chris Gutierrez,,U-DEC,Ryan MacDonald,0,3,69,0,0,5:00,Win,Bantamweight,900,15.0
832,Jordan Espinosa,,U-DEC,Eric Shelton,0,3,47,0,1,5:00,Win,Flyweight,900,15.0
834,Jorge Masvidal,Punch,KO/TKO,Darren Till,0,2,35,0,1,3:05,Win,Welterweight,485,8.083333333333334
836,Leon Edwards,,S-DEC,Gunnar Nelson,1,3,31,0,2,5:00,Win,Welterweight,900,15.0
838,Dominick Reyes,,S-DEC,Volkan Oezdemir,0,3,44,0,0,5:00,Win,Light Heavyweight,900,15.0
840,Nathaniel Wood,Rear Naked Choke,SUB,Jose Quinonez,3,2,30,2,2,2:46,Win,Bantamweight,466,7.766666666666667
842,Claudio Silva,Armbar,SUB,Danny Roberts,5,3,19,4,3,2:37,Win,Welterweight,757,12.616666666666667
844,Jack Marshman,,S-DEC,John Phillips,0,3,31,0,0,5:00,Win,Middleweight,900,15.0
846,Arnold Allen,,U-DEC,Jordan Rinaldi,0,3,37,0,0,5:00,Win,Featherweight,900,15.0
848,Marc Diakiese,,U-DEC,Joe Duffy,2,3,63,0,3,5:00,Win,Lightweight,900,15.0
850,Saparbeg Safarov,,U-DEC,Nicolae Negumereanu,7,3,70,0,3,5:00,Win,Light Heavyweight,900,15.0
852,Dan Ige,Rear Naked Choke,SUB,Danny Henry,1,1,10,1,1,1:17,Win,Featherweight,77,1.2833333333333334
854,Molly McCann,,U-DEC,Priscila Cachoeira,2,3,107,2,2,5:00,Win,Women's Flyweight,900,15.0
856,Mike Grundy,Punches,KO/TKO,Nad Narimani,1,2,33,0,1,4:42,Win,Featherweight,582,9.7
858,Junior Dos Santos,Punches,KO/TKO,Derrick Lewis,0,2,29,0,0,1:58,Win,Heavyweight,418,6.966666666666667
860,Elizeu Zaleski dos Santos,Rear Naked Choke,SUB,Curtis Millender,2,1,6,1,1,2:35,Win,Welterweight,155,2.5833333333333335
862,Niko Price,Punch,KO/TKO,Tim Means,0,1,32,0,0,4:50,Win,Welterweight,290,4.833333333333333
864,Blagoy Ivanov,,U-DEC,Ben Rothwell,0,3,72,0,0,5:00,Win,Heavyweight,900,15.0
866,Beneil Dariush,Armbar,SUB,Drew Dober,4,2,37,1,2,4:41,Win,Lightweight,581,9.683333333333334
868,Omari Akhmedov,,U-DEC,Tim Boetsch,0,3,52,0,0,5:00,Win,Middleweight,900,15.0
870,Anthony Rocco Martin,,U-DEC,Sergio Moraes,1,3,50,0,0,5:00,Win,Welterweight,900,15.0
872,Yana Kunitskaya,,U-DEC,Marion Reneau,0,3,98,0,1,5:00,Win,Women's Bantamweight,900,15.0
874,Grant Dawson,,U-DEC,Julian Erosa,5,3,57,1,6,5:00,Win,Featherweight,900,15.0
876,Maurice Greene,,S-DEC,Jeff Hughes,0,3,70,0,0,5:00,Win,Heavyweight,900,15.0
878,Matt Schnell,Triangle Choke,SUB,Louis Smolka,1,1,14,2,1,3:18,Win,Bantamweight,198,3.3
880,Alex Morono,Elbows,KO/TKO,Zak Ottow,2,1,25,1,0,3:34,Win,Welterweight,214,3.566666666666667
882,Alex White,,U-DEC,Dan Moret,0,3,49,3,2,5:00,Win,Lightweight,900,15.0
884,Jon Jones,,U-DEC,Anthony Smith,0,5,125,0,3,5:00,Win,Light Heavyweight,1500,25.0
886,Kamaru Usman,,U-DEC,Tyron Woodley,7,5,141,0,2,5:00,Win,Welterweight,1500,25.0
888,Ben Askren,Other - Choke,SUB,Robbie Lawler,0,1,0,1,1,3:20,Win,Welterweight,200,3.3333333333333335
890,Weili Zhang,,U-DEC,Tecia Torres,4,3,63,0,2,5:00,Win,Women's Strawweight,900,15.0
892,Pedro Munhoz,Punch,KO/TKO,Cody Garbrandt,1,1,25,0,0,4:52,Win,Bantamweight,292,4.866666666666666
894,Zabit Magomedsharipov,,U-DEC,Jeremy Stephens,4,3,70,0,3,5:00,Win,Featherweight,900,15.0
896,Johnny Walker,Flying Knee,KO/TKO,Misha Cirkunov,0,1,4,0,0,0:36,Win,Light Heavyweight,36,0.6
898,Cody Stamann,,U-DEC,Alejandro Perez,0,3,48,0,0,5:00,Win,Bantamweight,900,15.0
900,Diego Sanchez,Punches,KO/TKO,Mickey Gall,5,2,56,0,4,4:13,Win,Welterweight,553,9.216666666666667
902,Edmen Shahbazyan,Elbows,KO/TKO,Charles Byrd,0,1,13,0,0,0:38,Win,Middleweight,38,0.6333333333333333
904,Macy Chiasson,Punch,KO/TKO,Gina Mazany,0,1,25,0,0,1:49,Win,Women's Bantamweight,109,1.8166666666666667
906,Hannah Cifers,,S-DEC,Polyana Viana,0,3,67,0,0,5:00,Win,Women's Strawweight,900,15.0
908,Thiago Santos,Punch,KO/TKO,Jan Blachowicz,1,3,52,0,1,0:39,Win,Light Heavyweight,639,10.65
910,Stefan Struve,Arm Triangle,SUB,Marcos Rogerio de Lima,2,2,0,1,1,2:21,Win,Heavyweight,441,7.35
912,Michal Oleksiejczuk,Punch,KO/TKO,Gian Villante,0,1,14,0,0,1:34,Win,Light Heavyweight,94,1.5666666666666667
914,Liz Carmouche,,U-DEC,Lucie Pudilova,2,3,14,2,3,5:00,Win,Women's Flyweight,900,15.0
916,Petr Yan,,U-DEC,John Dodson,0,3,80,0,2,5:00,Win,Bantamweight,900,15.0
918,Magomed Ankalaev,,U-DEC,Klidson Abreu,2,3,30,0,1,5:00,Win,Light Heavyweight,900,15.0
920,Dwight Grant,Punch,KO/TKO,Carlo Pedersoli,0,1,20,0,0,4:59,Win,Welterweight,299,4.983333333333333
922,Chris Fishgold,Rear Naked Choke,SUB,Daniel Teymur,5,2,14,2,5,1:10,Win,Featherweight,370,6.166666666666667
924,Gillian Robertson,Rear Naked Choke,SUB,Veronica Macedo,7,2,5,1,2,3:27,Win,Women's Flyweight,507,8.45
926,Damir Hadzovic,Punches,KO/TKO,Polo Reyes,3,2,58,0,2,2:03,Win,Lightweight,423,7.05
928,Ismail Naurdiev,,U-DEC,Michel Prazeres,4,3,63,1,0,5:00,Win,Welterweight,900,15.0
930,Diego Ferreira,,U-DEC,Rustam Khabilov,0,3,83,1,0,5:00,Win,Lightweight,900,15.0
932,Damir Ismagulov,,U-DEC,Joel Alvarez,0,3,64,0,0,5:00,Win,Lightweight,900,15.0
934,Francis Ngannou,Punches,KO/TKO,Cain Velasquez,0,1,6,0,0,0:26,Win,Heavyweight,26,0.43333333333333335
936,Paul Felder,,U-DEC,James Vick,0,3,55,0,0,5:00,Win,Lightweight,900,15.0
938,Cynthia Calvillo,,U-DEC,Cortney Casey,0,3,82,0,0,5:00,Win,Women's Strawweight,900,15.0
940,Kron Gracie,Rear Naked Choke,SUB,Alex Caceres,1,1,2,1,1,2:06,Win,Featherweight,126,2.1
942,Vicente Luque,Knee,KO/TKO,Bryan Barberena,1,3,163,2,0,4:54,Win,Welterweight,894,14.9
944,Andre Fili,,U-DEC,Myles Jury,0,3,98,0,0,5:00,Win,Featherweight,900,15.0
946,Aljamain Sterling,,U-DEC,Jimmie Rivera,0,3,101,0,0,5:00,Win,Bantamweight,900,15.0
948,Manny Bermudez,Guillotine Choke,SUB,Benito Lopez,2,1,7,1,1,3:09,Win,Bantamweight,189,3.15
950,Andrea Lee,,U-DEC,Ashlee Evans-Smith,0,3,111,0,0,5:00,Win,Women's Flyweight,900,15.0
952,Nik Lentz,,U-DEC,Scott Holtzman,2,3,71,1,5,5:00,Win,Lightweight,900,15.0
954,Luke Sanders,Punch,KO/TKO,Renan Barao,0,2,39,0,0,1:01,Win,Bantamweight,361,6.016666666666667
956,Emily Whitmire,Rear Naked Choke,SUB,Alexandra Albu,2,1,3,1,1,1:01,Win,Women's Strawweight,61,1.0166666666666666
958,Israel Adesanya,,U-DEC,Anderson Silva,0,3,65,0,0,5:00,Win,Middleweight,900,15.0
960,Lando Vannata,Kimura,SUB,Marcos Mariano,2,1,20,1,1,4:55,Win,Lightweight,295,4.916666666666667
962,Ricky Simon,,U-DEC,Rani Yahya,2,3,54,0,4,5:00,Win,Bantamweight,900,15.0
964,Montana De La Rosa,Armbar,SUB,Nadia Kassem,7,2,21,3,2,2:37,Win,Women's Flyweight,457,7.616666666666666
966,Jimmy Crute,Punches,KO/TKO,Sam Alvey,0,1,14,0,0,2:49,Win,Light Heavyweight,169,2.816666666666667
968,Devonte Smith,Punch,KO/TKO,Dong Hyun Ma,0,1,19,0,0,3:53,Win,Lightweight,233,3.8833333333333333
970,Shane Young,,U-DEC,Austin Arnett,0,3,120,0,0,5:00,Win,Featherweight,900,15.0
972,Kai Kara-France,,S-DEC,Raulian Paiva,0,3,58,0,2,5:00,Win,Flyweight,900,15.0
974,Kyung Ho Kang,Rear Naked Choke,SUB,Teruto Ishihara,1,1,26,1,1,3:59,Win,Bantamweight,239,3.9833333333333334
976,Jalin Turner,Kick,KO/TKO,Callan Potter,1,1,9,0,0,0:53,Win,Lightweight,53,0.8833333333333333
978,Jonathan Martinez,,U-DEC,Wuliji Buren,4,3,47,0,1,5:00,Win,Bantamweight,900,15.0
980,Marlon Moraes,Guillotine Choke,SUB,Raphael Assuncao,2,1,10,1,0,3:17,Win,Bantamweight,197,3.283333333333333
982,Jose Aldo,Punches,KO/TKO,Renato Moicano,0,2,26,0,0,0:44,Win,Featherweight,344,5.733333333333333
984,Demian Maia,Rear Naked Choke,SUB,Lyman Good,1,1,0,2,2,2:38,Win,Welterweight,158,2.6333333333333333
986,Charles Oliveira,Anaconda Choke,SUB,David Teymur,1,2,28,1,1,0:55,Win,Lightweight,355,5.916666666666667
988,Johnny Walker,Spinning Back Fist,KO/TKO,Justin Ledet,0,1,7,0,0,0:15,Win,Light Heavyweight,15,0.25
990,Livinha Souza,,S-DEC,Sarah Frota,2,3,23,3,4,5:00,Win,Women's Strawweight,900,15.0
992,Markus Perez,Anaconda Choke,SUB,Anthony Hernandez,1,2,16,1,1,1:07,Win,Middleweight,367,6.116666666666666
994,Mara Romero Borella,,S-DEC,Taila Santos,2,3,29,0,2,5:00,Win,Women's Flyweight,900,15.0
996,Thiago Alves,,S-DEC,Max Griffin,0,3,83,0,0,5:00,Win,Welterweight,900,15.0
998,Jairzinho Rozenstruik,Kick,KO/TKO,Junior Albini,0,2,19,0,0,0:54,Win,Heavyweight,354,5.9
1000,Geraldo de Freitas,,U-DEC,Felipe Colares,11,3,49,0,6,5:00,Win,Featherweight,900,15.0
1002,Said Nurmagomedov,Spinning Back Kick,KO/TKO,Ricardo Ramos,0,1,17,0,0,2:28,Win,Bantamweight,148,2.466666666666667
1004,Rogerio Bontorin,,S-DEC,Magomed Bibulatov,2,3,40,2,1,5:00,Win,Flyweight,900,15.0
1006,Henry Cejudo,Punches,KO/TKO,TJ Dillashaw,0,1,18,0,0,0:32,Win,Flyweight,32,0.5333333333333333
1008,Allen Crowder,,DQ,Greg Hardy,2,2,12,1,1,2:28,Win,Heavyweight,448,7.466666666666667
1010,Gregor Gillespie,Punches,KO/TKO,Yancy Medeiros,7,2,51,0,6,4:59,Win,Lightweight,599,9.983333333333333
1012,Joseph Benavidez,,U-DEC,Dustin Ortiz,2,3,21,0,7,5:00,Win,Flyweight,900,15.0
1014,Paige VanZant,Armbar,SUB,Rachael Ostovich,1,2,17,2,0,1:50,Win,Women's Flyweight,410,6.833333333333333
1016,Glover Teixeira,Arm Triangle,SUB,Karl Roberson,3,1,6,1,1,3:21,Win,Light Heavyweight,201,3.35
1018,Donald Cerrone,Kick,KO/TKO,Alexander Hernandez,0,2,80,0,1,3:43,Win,Lightweight,523,8.716666666666667
1020,Joanne Calderwood,,U-DEC,Ariane Lipski,4,3,85,2,1,5:00,Win,Women's Flyweight,900,15.0
